2012-02-15	322
2012-02-16	340
2012-03-01	592
2012-03-04	649
2012-03-05	675
2012-03-07	694
2012-03-08	730


.tsv
.tsv
.tsv
.tsv
.tsv
.tsv
.tsv
buying-guide.tsv
